csvname,group,title,description,logo
biota,biota,Biota,,biota.png
boundaries,boundaries,Boundaries,,boundaries.png
climatology-meteorology-atmosphere,atmosphere,"Atmosphere, Climatology, Meteorology",,atmosphere.png
economy,economy,Economy,,economy.png
elevation,elevation,Elevation and Depth,,elevation.png
environment,environment,Environment,,environment.png
aquaculture,aquaculture,Aquaculture,,aquaculture.png
geoscientific information,geoscience,Geoscience,,geoscience.png
imagery base maps earth cover,imagery,"Imagery, Base maps, Earth cover",,imagery.png
inland waters,inlandwaters,Inland Waters,,inland_waters.png
intelligence-military,military,Military,,military.png
location,location,Location,,location.png
oceans,oceans,Oceans,,oceans.png
planning and cadastre,cadastre,Planning and Cadastre,,planning.png
society,society,Society,,society.png
structure,structure,Structure,,structure.png
transportation,transportation,Transportation,,transportation.png
utilities-communications,utilities,Utilities and Communications,,utilities_comms.png
